H_estimate,H_error
-0.452519,0.00411402
-0.452345,0.00410231
-0.451884,0.00411302
-0.451717,0.00410116
-0.45164,0.00408671
-0.451418,0.00407772
-0.451322,0.00406391
-0.451191,0.00405114
-0.451158,0.00403652
-0.451241,0.00402272
-0.451456,0.00401392
-0.451259,0.00400427
-0.451296,0.00399006
-0.45099,0.00398752
-0.451031,0.00397352
-0.450432,0.00400454
-0.45053,0.00399157
-0.450394,0.00397983
-0.449687,0.00402835
-0.44944,0.00402185
-0.449669,0.00401438
-0.449569,0.00400166
-0.449695,0.00398977
-0.449675,0.00397604
-0.450025,0.0039778
-0.44978,0.00397169
-0.448863,0.0040629
-0.448959,0.0040502
-0.448273,0.00409445
-0.448289,0.00408063
-0.44822,0.00406746
-0.448336,0.00405544
-0.448114,0.00404792
-0.447976,0.00403678
-0.448093,0.00402504
-0.447965,0.00401374
-0.448181,0.00400631
-0.448267,0.00399404
-0.44845,0.00398513
-0.44875,0.00398334
-0.448425,0.00398356
-0.448383,0.00397083
-0.448629,0.00396562
-0.448653,0.00395287
-0.448683,0.00394026
-0.4486,0.0039285
-0.448683,0.00391682
-0.448738,0.00390471
-0.44887,0.00389454
-0.44891,0.0038824
-0.449053,0.00387279
-0.449055,0.00386059
-0.449048,0.00384847
-0.449081,0.00383657
-0.449309,0.00383138
-0.449287,0.00381953
-0.449538,0.00381598
-0.449576,0.00380438
-0.449785,0.00379839
-0.448786,0.00391618
-0.448864,0.00390496
-0.448982,0.00389484
-0.448898,0.0038839
-0.449144,0.0038799
-0.449222,0.00386895
-0.447741,0.0041319
-0.447591,0.00412217
-0.447611,0.00410986
-0.447753,0.00410003
-0.447792,0.004088
-0.44794,0.00407853
-0.448097,0.00406948
-0.448021,0.00405818
-0.448489,0.00407321
-0.448611,0.00406307
-0.448731,0.00405296
-0.448426,0.00405263
-0.448334,0.00404188
-0.448342,0.00403016
-0.448104,0.00402555
-0.448361,0.00402217
-0.44828,0.00401142
-0.448477,0.00400477
-0.447901,0.00403457
-0.447997,0.0040242
-0.447897,0.00401399
-0.447878,0.00400265
-0.447654,0.00399763
-0.447621,0.00398649
-0.447585,0.00397544
-0.447165,0.00398644
-0.446948,0.00398121
-0.447027,0.00397091
-0.447164,0.00396221
-0.447183,0.00395127
-0.447229,0.00394061
-0.447212,0.00392977
-0.447122,0.00392
-0.447433,0.00392163
-0.447614,0.00391507
-0.447631,0.00390442
-0.447671,0.003894
-0.447677,0.00388344
-0.447551,0.00387499
-0.447844,0.00387561
-0.447975,0.00386741
-0.448194,0.00386322
-0.448019,0.00385682
-0.448157,0.003849
-0.4483,0.0038414
-0.448323,0.00383127
-0.448524,0.00382639
-0.448494,0.0038164
-0.448647,0.00380943
-0.448634,0.00379944
-0.448472,0.00379294
-0.448484,0.00378304
-0.448301,0.00377759
-0.448229,0.00376846
-0.448472,0.00376657
-0.448709,0.00376426
-0.448767,0.00375499
-0.448941,0.00374935
-0.44932,0.00375897
-0.449488,0.00375308
-0.449453,0.00374366
-0.449578,0.00373623
-0.449674,0.00372795
-0.449604,0.00371916
-0.449844,0.0037175
-0.449641,0.00371367
-0.449638,0.00370433
-0.449798,0.00369849
-0.449959,0.00369275
-0.450064,0.00368501
-0.45001,0.00367622
-0.449881,0.00366935
-0.449725,0.00366361
-0.449843,0.00365649
-0.449786,0.00364791
-0.449999,0.00364516
-0.450011,0.00363624
-0.450067,0.00362777
-0.449591,0.00365006
-0.449686,0.00364242
-0.449711,0.00363365
-0.4499,0.00362975
-0.449652,0.00362948
-0.449469,0.00362535
-0.449555,0.00361765
-0.449705,0.00361207
-0.44965,0.00360383
-0.449445,0.00360106
-0.449416,0.00359259
